اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
الشركة الأهلية المحلية للتنمية بجهيم,فلاحة / صيد و الخدمات المتصلة بها,شتاوة,توزر,توزر,مسغونة,محلية,الشركه للتنميه بجهيم,100.0,108,True,الشركة الأهلية المحلية للتنمية بجهيم,1845431Z,1845431Z,توزر,توزر,13370,شركة أهلية محلية,https://trovit.tn/charika/1845431Z,True,False
الشركة الاهلية المحلية الأولى الأمل,فلاحة / صيد و الخدمات المتصلة بها,المنطقة السياحية,توزر,توزر,مسغونة,محلية,الشركه الاولي الامل,100.0,29,True,الشركة الاهلية المحلية الأولى الأمل,1914910W,1914910W,توزر,توزر,10600,شركة أهلية محلية,https://trovit.tn/charika/1914910W,True,False
الشركة الأهلية المحلية فيوندار الوردية,فلاحة/ تربية الأسماك و تفريخها,عدد 1 شارع بالفو,تونس,الوردية,الوردية,جهوية,الشركه فيوندار الورديه,100.0,97,True,الشركة الأهلية المحلية فيوندار الوردية,1866347V,1866347V,تونس,الوردية,11000,شركة أهلية محلية,https://trovit.tn/charika/1866347V,True,False
البلدي للمواد الإنشائية شركة أهلية محلية,إنتاج و توزيع الكهرباء و الغاز و الحرارة,نهج 20 مارس,جندوبة,بوسالم,بوسالم الشمالية,محلية,البلدي للمواد الانشاييه شركه اهليه محليه,100.0,40,True,البلدي للمواد الإنشائية شركة أهلية محلية,1917562J,1917562J,باجة,بو سالم,10000,شركة أهلية محلية,https://trovit.tn/charika/1917562J,True,False
س م ك لوكي للجلود و الاحذية شركة أهلية محلية,صنع الأحذية,شارع 9 أفريل,جندوبة,جندوبة,جندوبة الجنوبية,محلية,س م ك لوكي للجلود و الاحذيه شركه اهليه محليه,100.0,110,True,س م ك لوكي للجلود و الاحذية شركة أهلية محلية,1840925W,1840925W,جندوبة,جندوبة,10000,شركة أهلية محلية,https://trovit.tn/charika/1840925W,True,False
حلمه للنسيج شركة اهلية محلية,صنع الملابس من النسيج,محضنة المؤسسات جندوبة,جندوبة,جندوبة,جندوبة الجنوبية,محلية,حلمه للنسيج شركه اهليه محليه,100.0,107,True,حلمه للنسيج شركة اهلية محلية,1847147G,1847147G,جندوبة,جندوبة الشمالية,10000,شركة أهلية محلية,https://trovit.tn/charika/1847147G,True,False
ماركيا للفلاحة و السياحة شركة أهلية محلية,زراعة,القلعة,جندوبة,غار الدماء,غار الدماء,محلية,ماركيا للفلاحه و السياحه شركه اهليه محليه,100.0,104,True,ماركيا للفلاحة و السياحة شركة  أهلية محلية,1857219L,1857219L,جندوبة,غار الدماء,10000,شركة أهلية محلية,https://trovit.tn/charika/1857219L,True,False
شركة الأهلية الجهوية بجندوبة الصفاء,فلاحة / صيد و الخدمات المتصلة بها,شارع 20 مارس,جندوبة,بوسالم,بوسالم الشمالية,محلية,شركه بجندوبه الصفاء,100.0,21,True,شركة الأهلية الجهوية بجندوبة الصفاء,1809691P,1809691P,جندوبة,بو سالم,21600,شركة أهلية جهوية,https://trovit.tn/charika/1809691P,True,False
جنان جيوفي شركة أهلية محلية,أنشطة ترفيهية,شارع الحبيب بورقيبة,زغوان,بئر مشارقة,بئر مشارقة,محلية,جنان جيوفي شركه اهليه محليه,100.0,68,True,جنان جيوفي شركة أهلية محلية,1888979S,1888979S,زغوان,بير المشارقة,10000,شركة أهلية محلية,https://trovit.tn/charika/1888979S,True,False
الشركة الأهلية المحلية الفلاحية القصبات الفحص,تربية الحيوانات,نهج السودان,زغوان,الفحص,الفحص,محلية,الشركه الفلاحيه القصبات الفحص,100.0,71,True,الشركة الأهلية المحلية الفلاحية القصبات الفحص,1888257N,1888257N,زغوان,الفحص,10000,شركة أهلية محلية,https://trovit.tn/charika/1888257N,True,False
الشركة الأهلية الجهوية للأعلاف و اللحوم,زراعة,10 نهج الطيب المهيري,زغوان,الفحص,الفحص,محلية,الشركه للاعلاف و اللحوم,100.0,0,True,الشركة الأهلية الجهوية للأعلاف و اللحوم,1885807J,1885807J,زغوان,الفحص,20000,شركة أهلية جهوية,https://trovit.tn/charika/1885807J,True,False
تيناس هنشير الخير شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,زقيدان,زغوان,صواف,صواف الشرقية,محلية,تيناس هنشير الخير شركه اهليه محليه,100.0,85,True,تيناس هنشير الخير شركة أهلية محلية,1860521P,1860521P,بنعروس,صواف,15200,شركة أهلية محلية,https://trovit.tn/charika/1860521P,True,False
الشركة الأهلية المحلية سيريستي,فلاحة / صيد و الخدمات المتصلة بها,شيرش أولاد الزوابي,زغوان,الفحص,الفحص,محلية,الشركه سيريستي,100.0,115,True,الشركة الأهلية المحلية سيريستي,1835339Z,1835339Z,سليانة,الفحص,11200,شركة أهلية محلية,https://trovit.tn/charika/1835339Z,True,False
الشركة الأهلية الجهوية مبدعات زيكا,فلاحة / صيد و الخدمات المتصلة بها,نهج محمد علي,زغوان,الفحص,الفحص,محلية,الشركه مبدعات زيكا,100.0,8,True,الشركة الأهلية الجهوية مبدعات زيكا,1872973E,1872973E,زغوان,الفحص,28800,شركة أهلية جهوية,https://trovit.tn/charika/1872973E,True,False
الشركة الأهلية المحلية التعمير بالعمامرية,فلاحة/ صيد و الخدمات المتصلة بها,العمامرية,سليانة,بوعرادة,بوعرادة,محلية,الشركه التعمير بالعمامريه,100.0,111,True,الشركة الأهلية المحلية التعمير بالعمامرية,1837861X,1837861X,سليانة,بو عرادة,10000,شركة أهلية محلية,https://trovit.tn/charika/1837861X,True,False
الشركة الاهلية الجهوية الزامريجيا,فلاحة/ صيد و الخدمات المتصلة بها,نهج ابن ابي الضياف,سليانة,سليانة الجنوبية,سليانة الجنوبية,جهوية,الشركه الزامريجيا,100.0,18,True,الشركة الاهلية الجهوية الزامريجيا,1820136M,1820136M,سليانة,سليانة الجنوبية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1820136M,True,False
