اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
الشركة الأهلية المحلية الماسة للفلاحة المندمجة,فلاحة / صيد و الخدمات المتصلة بها,الحي الصناعي,المهدية,السواسي,السواسي,محلية,الشركه الماسه للفلاحه المندمجه,74.50980392156863,89,True,الشركة الأهلية المحلية بنمسلم للفلاحة,1867785T,1867785T,باجة,قبلاط,10000,شركة أهلية محلية,https://trovit.tn/charika/1867785T,False,False
الشركة الأهلية المحلية ريحانة,حراجة / إستغلال الغابات,كاب نقرو,باجة,نفزة,كاب نقرو,محلية,الشركه ريحانه,72.0,45,True,الشركة الاهلية المحلية النصر,1878153A,1878153A,صفاقس,جبنيانة,10300,شركة أهلية محلية,https://trovit.tn/charika/1878153A,False,False
المسيد للسياحة الايكولوجية شركة أهلية محلية,أنشطة ترفيهية و ثقافية و رياضية,الجميلة,باجة,نفزة,الجميلة,محلية,المسيد للسياحه الايكولوجيه شركه اهليه محليه,76.54320987654322,121,True,المالوسي لصناعة الآجر شركة أهلية محلية,1830277F,1830277F,سيدي بوزيد,منزل بوزيان,10000,شركة أهلية محلية,https://trovit.tn/charika/1830277F,False,False
الشركة الأهلية الجهوية لحرف المكفوفين بباجة,صنع منتجات متنوعة من الخشب أو من الفلين (الخفاف) أو من القصب,شارع البيئة الحي الإداري سيدي اسماعيل,باجة,باجة الجنوبية,زهرة مدين,جهوية,الشركه لحرف المكفوفين بباجه,63.63636363636363,3,True,الشركة الأهلية الجهوية ثمار الوطن,1888626T,1888626T,قفصة,قفصة الجنوبية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1888626T,False,False
شركة السلامة بقرام قبلاط,أنشطة خدمات ملحقة بالزراعات المحاصلية,قرام,باجة,قبلاط,قبلاط,محلية,شركه السلامه بقرام قبلاط,66.66666666666667,130,True,الشركة الاهلية المحلية البلام بالشابة,1822949C,1822949C,تونس,الشابة,58000,شركة أهلية محلية,https://trovit.tn/charika/1822949C,False,False
سواعد قبلاط,أنشطة خدمات ملحقة بالزراعات المحاصلية,العقلة,باجة,قبلاط,قبلاط,محلية,سواعد قبلاط,48.275862068965516,86,True,الشركة الاهلية المحلية خيرات قبلاط,1866813A,1866813A,باجة,قبلاط,10000,شركة أهلية محلية,https://trovit.tn/charika/1866813A,False,False
باش حامبة الخير شركة أهلية محلية,زراعة,حي باش حامبة القريعات,باجة,مجاز الباب,القريعات,محلية,باش حامبه الخير شركه اهليه محليه,76.66666666666666,138,True,حلم الزوارع شركة أهلية محلية,1805848A,1805848A,باجة,نفزة,10000,شركة أهلية محلية,https://trovit.tn/charika/1805848A,False,False
سوا أجريفوتور شركة الأهلية المحلية,فلاحة / صيد و الخدمات المتصلة بها,حي الهادي شاكر,باجة,مجاز الباب,مجاز الباب المدينة,محلية,سوا اجريفوتور شركه,58.06451612903225,23,True,الشركة الاهلية المحلية الأريج,1924807D,1924807D,سيدي بوزيد,جلمة,10000,شركة أهلية محلية,https://trovit.tn/charika/1924807D,False,False
الشركة الأهلية المحلية سهول غانم,فلاحة / صيد و الخدمات المتصلة بها,توكابر,باجة,مجاز الباب,توكابر,محلية,الشركه سهول غانم,64.70588235294117,131,True,الشركة الاهلية المحلية فلاح سبيطلة,1822253A,1822253A,القصرين,سبيطلة,10000,شركة أهلية محلية,https://trovit.tn/charika/1822253A,False,False
الشركة الأهلية المحلية التوازن مجاز الباب,فلاحة / صيد و الخدمات المتصلة بها,طريق باجة,باجة,مجاز الباب,مجاز الباب المدينة,محلية,الشركه التوازن مجاز الباب,67.85714285714286,15,True,الشركة الاهلية الجهوية البيارق للانتاج الحيواني,1835385F,1835385F,تطاوين,تطاوين الشمالية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1835385F,False,False
جنان فاقا شركة أهلية جهوية,فلاحة / صيد و الخدمات المتصلة بها,حي الحرفيين,باجة,قبلاط,قبلاط,محلية,جنان فاقا شركه اهليه جهويه,75.47169811320755,68,True,جنان جيوفي شركة أهلية محلية,1888979S,1888979S,زغوان,بير المشارقة,10000,شركة أهلية محلية,https://trovit.tn/charika/1888979S,False,False
الشركة الأهلية المحلية أوذنة للخدمات,أنشطة ترفيهية و ثقافية و رياضية,فرش العنابي الخليدية,بن عروس,مرناق,الخليلدية,محلية,الشركه اوذنه للخدمات,75.0,42,True,الشركة الأهلية المحلية للخدمات العامة بقرقنة,1911725J,1911725J,صفاقس,قرقنة,10000,شركة أهلية محلية,https://trovit.tn/charika/1911725J,False,False
بيوغاز تثمين شركة اهلية جهوية,إنتاج و توزيع الكهرباء و الغاز و الحرارة,اقامة ابن رشد بناية أ عمارة 1 المروج1,بن عروس,المروج,المروج (1),محلية,بيوغاز تثمين شركه اهليه جهويه,64.0,9,True,شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية,1847613M,1847613M,سيدي بوزيد,سيدي بوزيد الغربية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1847613M,False,False
الشركة الأهلية المحلية الوفرة للفلاحة,زراعة,سيدي عثمان,بنزرت,أوتيك,أوتيك,محلية,الشركه الوفره للفلاحه,76.19047619047619,89,True,الشركة الأهلية المحلية بنمسلم للفلاحة,1867785T,1867785T,باجة,قبلاط,10000,شركة أهلية محلية,https://trovit.tn/charika/1867785T,False,False
ايكو كلين بيزارتا شركة أهلية جهوية,التطهير وتنظيف الطرقات و التصرف في الفضلات,11 نهج اسطنبول,بنزرت,بنزرت الشمالية,المدينة,جهوية,ايكو كلين بيزارتا شركه اهليه جهويه,67.5,9,True,شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية,1847613M,1847613M,سيدي بوزيد,سيدي بوزيد الغربية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1847613M,False,False
شركة الاهلية الجهوية الماسة للطاقة (في طور التصفية ),خدمات جماعية و إجتماعية و شخصية,الخاتمة تطاوين,تطاوين,تطاوين الشمالية,النزهة,محلية,شركه الماسه للطاقه في طور التصفيه,70.58823529411764,11,True,شركة الاهلية الجهوية الماسة للطاقة,1838680Y,1838680Y,تطاوين,تطاوين الشمالية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1838680Y,False,False
الشركة الاهلية الجهوية حرائر الواحة بتوزر,صناعات إستخراجية أخرى,طريق الحامة,توزر,توزر,مسغونة,محلية,الشركه حراير الواحه بتوزر,65.3061224489796,66,True,الشركة الأهلية المحلية خابية الطلح بلخير,1886574Q,1886574Q,قفصة,بالخير,10000,شركة أهلية محلية,https://trovit.tn/charika/1886574Q,False,False
الشركة الأهلية الجهوية الأقصى المبارك,خدمات ملحقة بالنقل,محطة النقل,توزر,توزر,مسغونة,جهوية,الشركه الاقصي المبارك,78.94736842105263,124,True,الشركة الاهلية المحلية أم الاقصاب,1827094A,1827094A,تونس,أم العرائس,10000,شركة أهلية محلية,https://trovit.tn/charika/1827094A,False,False
الشركة الأهلية الجهوية للنقل ابن شباط,النقل المنتظم للمسافرين,بن فرج الله,توزر,نفطة,الشافعي الشريف,جهوية,الشركه للنقل ابن شباط,71.7948717948718,28,True,الشركة الاهلية المحلية للنقل الزهد,1921945A,1921945A,المنستير,طبلبة,12500,شركة أهلية محلية,https://trovit.tn/charika/1921945A,False,False
الشركة الأهلية المحلية كنوز الصحراء,تربية الحيوانات,حي النسيم,توزر,حزوة,حزوة,محلية,الشركه كنوز الصحراء,70.96774193548387,45,True,الشركة الاهلية المحلية النصر,1878153A,1878153A,صفاقس,جبنيانة,10300,شركة أهلية محلية,https://trovit.tn/charika/1878153A,False,False
