اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع
شركة ألكا محيط لرسكلة النفايات شركة اهلية محلية,إسترداد المواد المستعملة,بني ثابت,المهدية,الجم,المرابطين,جهوية
الشركة ألأهلية الإتحاد أولاد جابالله,فلاحة / صيد و الخدمات المتصلة بها,أولاد جاب الله,المهدية,ملولش,ملولش,محلية
الشركة الأهلية المحلية الماسة للفلاحة المندمجة,فلاحة / صيد و الخدمات المتصلة بها,الحي الصناعي,المهدية,السواسي,السواسي,محلية
الشركة الاهلية المحلية البلام بالشابة,فلاحة / صيد و الخدمات المتصلة بها,نهج الخذر بن حسين,المهدية,الشابة,الشابة الشمالية,محلية
الشركة الأهلية المحلية النور بالسواسي,فلاحة / صيد و الخدمات المتصلة بها,طريق السواسي-الجم,المهدية,السواسي,السواسي,محلية
الشركة الأهلية المحلية ريحانة,حراجة / إستغلال الغابات,كاب نقرو,باجة,نفزة,كاب نقرو,محلية
المسيد للسياحة الايكولوجية شركة أهلية محلية,أنشطة ترفيهية و ثقافية و رياضية,الجميلة,باجة,نفزة,الجميلة,محلية
الشركة الأهلية الجهوية لحرف المكفوفين بباجة,صنع منتجات متنوعة من الخشب أو من الفلين (الخفاف) أو من القصب,شارع البيئة الحي الإداري سيدي اسماعيل,باجة,باجة الجنوبية,زهرة مدين,جهوية
شركة السلامة بقرام قبلاط,أنشطة خدمات ملحقة بالزراعات المحاصلية,قرام,باجة,قبلاط,قبلاط,محلية
سواعد قبلاط,أنشطة خدمات ملحقة بالزراعات المحاصلية,العقلة,باجة,قبلاط,قبلاط,محلية
باش حامبة الخير شركة أهلية محلية,زراعة,حي باش حامبة القريعات,باجة,مجاز الباب,القريعات,محلية
بركة الفدان شركة أهلية محلية,زراعة النباتات الصناعية,فدان السوق 9046,باجة,تبرسق,فدان السوق,جهوية
سوا أجريفوتور شركة الأهلية المحلية,فلاحة / صيد و الخدمات المتصلة بها,حي الهادي شاكر,باجة,مجاز الباب,مجاز الباب المدينة,محلية
الشركة الأهلية المحلية سهول غانم,فلاحة / صيد و الخدمات المتصلة بها,توكابر,باجة,مجاز الباب,توكابر,محلية
الشركة الأهلية المحلية التوازن مجاز الباب,فلاحة / صيد و الخدمات المتصلة بها,طريق باجة,باجة,مجاز الباب,مجاز الباب المدينة,محلية
الشركة الاهلية المحلية باولاد سلامة تستور,فلاحة / صيد و الخدمات المتصلة بها,أولاد سلامة,باجة,تستور,أولاد سلامة,محلية
الجنة المخفية شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,محضنة المؤسسات,باجة,باجة الشمالية,باجة,جهوية
الشركة الأهلية المحلية زهرة الجديدي,فلاحة / صيد و الخدمات المتصلة بها,سيدي أحمد الجديدي,باجة,مجاز الباب,مجاز الباب المدينة,محلية
توكا بلي دور شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,توكابر,باجة,مجاز الباب,توكابر,محلية
كاف هدوم شركة أهلية محلية,أنشطة ترفيهية و ثقافية و رياضية,عين جمالة,باجة,تبرسق,عين جمالة,جهوية
جنان فاقا شركة أهلية جهوية,فلاحة / صيد و الخدمات المتصلة بها,حي الحرفيين,باجة,قبلاط,قبلاط,محلية
شركة الإمتياز بقبلاط شركة أهلية محلية,زراعة,الخرايسية القمرتي,باجة,قبلاط,قبلاط,محلية
الشركة الاهلية المحلية خيرات قبلاط,فلاحة / صيد و الخدمات المتصلة بها,الطريفة,باجة,قبلاط,قبلاط,محلية
استثمارات سيدي اسماعيل شركة اهلية محلية,زراعة,شارع فرنسا عوني سنتر الطابق 3 ب7,باجة,باجة الجنوبية,زهرة مدين,محلية
الشركة الأهلية المحلية سبيل البركة قبلاط,فلاحة / صيد و الخدمات المتصلة بها,نهج قرام,باجة,قبلاط,قبلاط,محلية
الشركة الأهلية المحلية بنمسلم للفلاحة,فلاحة / صيد و الخدمات المتصلة بها,شارع البيئة,باجة,قبلاط,قبلاط,محلية
غانم الخير شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,غانم الصغير توكابر,باجة,مجاز الباب,توكابر,محلية
حلم الزوارع شركة أهلية محلية,أنشطة ترفيهية,وشتاتة,باجة,نفزة,وشتاتة,محلية
غانم الخير شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,غانم الصغير توكابر,باجة,مجاز الباب,توكابر,محلية
حلم الزوارع شركة أهلية محلية,أنشطة ترفيهية,وشتاتة,باجة,نفزة,وشتاتة,محلية
بارك مقرنوا شركة اهلية محلية,أنشطة ترفيهية و ثقافية و رياضية,عدد 12 نهج البندقية مقرين الجوهرة,بن عروس,مقرين,جوهرة,محلية
الشركة الأهلية المحلية أوذنة للخدمات,أنشطة ترفيهية و ثقافية و رياضية,فرش العنابي الخليدية,بن عروس,مرناق,الخليلدية,محلية
بيوغاز تثمين شركة اهلية جهوية,إنتاج و توزيع الكهرباء و الغاز و الحرارة,اقامة ابن رشد بناية أ عمارة 1 المروج1,بن عروس,المروج,المروج (1),محلية
الشركة الاهلية المحلية للثقافة والترفيه والسياحة القباب,أنشطة ترفيهية,الطريق الوطنية عدد 1برج سدرية,بن عروس,حمام الشط,حمام الشط,جهوية
الشركة الأهليه المحلية بير ماطر,صناعة/ صنع أغذية الحيوانات,عدد 5 شارع طه حسين,بنزرت,ماطر,ماطر,محلية
الشركة الأهلية المحلية الفلاحية المستقبل,فلاحة / صيد و الخدمات المتصلة بها,هنشير الشرقية,بنزرت,سجنان,سجنان,محلية
الشركة الأهلية المحلية الوفرة للفلاحة,زراعة,سيدي عثمان,بنزرت,أوتيك,أوتيك,محلية
الشركة الاهلية المحلية عين مازر,فلاحة / صيد و الخدمات المتصلة بها,الحدادين بازينة,بنزرت,جومين,بازينة,جهوية
ايكو كلين بيزارتا شركة أهلية جهوية,التطهير وتنظيف الطرقات و التصرف في الفضلات,11 نهج اسطنبول,بنزرت,بنزرت الشمالية,المدينة,جهوية
الشركة الأهلية المحلية الفلاحية ابن عرفة غمراسن,فلاحة/ صيد و الخدمات المتصلة بها,نهج 18 جانفي,تطاوين,غمراسن,غمراسن,محلية
الشركة الاهلية الجهوية بلقاء للحوم,أصناف أخرى من تجارة الجملة,الخاتمة تطاوين,تطاوين,تطاوين الشمالية,النزهة,محلية
الشركة الاهلية الجهوية البيارق للانتاج الحيواني,تربية الحيوانات,الخاتمة تطاوين,تطاوين,تطاوين الشمالية,النزهة,محلية
الشركة الاهلية المحلية مراعي الوطن,تربية الحيوانات,كمبوت رمادة,تطاوين,رمادة,رمادة الشرقية,محلية
الشركة الاهلية الجهوية سقيا للزراعات,زراعة,الخاتمة تطاوين,تطاوين,تطاوين الشمالية,النزهة,محلية
الشركة الاهلية الجهوية الصحاري للجبس بتطاوين,صناعات تحويلية (معملية),الهادي شاكر تطاوين,تطاوين,تطاوين الشمالية,النزهة,محلية
شركة الاهلية الجهوية الماسة للطاقة (في طور التصفية ),خدمات جماعية و إجتماعية و شخصية,الخاتمة تطاوين,تطاوين,تطاوين الشمالية,النزهة,محلية
الشركة الاهلية الجهوية حرائر الواحة بتوزر,صناعات إستخراجية أخرى,طريق الحامة,توزر,توزر,مسغونة,محلية
الشركة الأهلية الجهوية الأقصى المبارك,خدمات ملحقة بالنقل,محطة النقل,توزر,توزر,مسغونة,جهوية
الشركة الأهلية الجهوية للنقل ابن شباط,النقل المنتظم للمسافرين,بن فرج الله,توزر,نفطة,الشافعي الشريف,جهوية
الشركة الأهلية المحلية الكوفة للانتاج الحيواني,تربية الحيوانات,القطعاية,توزر,نفطة,الشافعي الشريف,جهوية
الشركة الأهلية المحلية العمارنة,تربية الحيوانات,صحراوي شتاوى,توزر,توزر,مسغونة,محلية
الشركة الأهلية المحلية كنوز الصحراء,تربية الحيوانات,حي النسيم,توزر,حزوة,حزوة,محلية
الشركة الأهلية المحلية الغزال الذهبي حزوة,فلاحة / صيد و الخدمات المتصلة بها,شارع 20 مارس,توزر,حزوة ,حزوة,محلية
الشركة الأهلية المحلية للتنمية بجهيم,فلاحة / صيد و الخدمات المتصلة بها,شتاوة,توزر,توزر,مسغونة,محلية
الشركة الاهلية المحلية الأولى الأمل,فلاحة / صيد و الخدمات المتصلة بها,المنطقة السياحية,توزر,توزر,مسغونة,محلية
الشركة الأهلية المحلية فيوندار الوردية,فلاحة/ تربية الأسماك و تفريخها,عدد 1 شارع بالفو,تونس,الوردية,الوردية,جهوية
الشركة الأهلية الجهوية السلامة لخدمات سيارات الأجرة تاكسي جماعي بتونس الكبرى,خدمات ملحقة بالنقل,18 نهج لشب بن رهيلة الزهروني,تونس,الحرائرية,الحرايرية,جهوية
الشركة الأهلية الجهوية صدربعل في حالة تصفية,خدمات ملحقة بالنقل,محطة لواج باب عليوة,تونس,باب البحر,باب البحر,جهوية
الشركة الأهلية الجهوية الفوز لخدمات سيارات الأجرة لواج بمحطة باب سعدون تونس,النقل المنتظم للمسافرين,50 شارع الحبيب بوقطفة الطابق 2,تونس,باردو,باردو,جهوية
الايمان للأعلاف شركة أهلية محلية,صناعة/ صنع أغذية الحيوانات,حي النصر,جندوبة,جندوبة,جندوبة الجنوبية,محلية
الشركة الأهلية المحلية قمرة الشمال,إستخراج الأحجار,راس الراجل,جندوبة,طبرقة,طبرقة,محلية
البلدي للمواد الإنشائية شركة أهلية محلية,إنتاج و توزيع الكهرباء و الغاز و الحرارة,نهج 20 مارس,جندوبة,بوسالم,بوسالم الشمالية,محلية
س م ك لوكي للجلود و الاحذية شركة أهلية محلية,صنع الأحذية,شارع 9 أفريل,جندوبة,جندوبة,جندوبة الجنوبية,محلية
حلمه للنسيج شركة اهلية محلية,صنع الملابس من النسيج,محضنة المؤسسات جندوبة,جندوبة,جندوبة,جندوبة الجنوبية,محلية
مناحل طبرقة شركة أهلية محلية,تربية حيوانات أخرى,راس الراجل عين الصبح,جندوبة,طبرقة,طبرقة,محلية
ماركيا للفلاحة و السياحة شركة أهلية محلية,زراعة,القلعة,جندوبة,غار الدماء,غار الدماء,محلية
شركة الأهلية الجهوية بجندوبة الصفاء,فلاحة / صيد و الخدمات المتصلة بها,شارع 20 مارس,جندوبة,بوسالم,بوسالم الشمالية,محلية
الشركة الاهلية المحلية توبربو ماجوس,أنشطة ترفيهية,نهج محمد علي,زغوان,الفحص,الفحص,محلية
جنان جيوفي شركة أهلية محلية,أنشطة ترفيهية,شارع الحبيب بورقيبة,زغوان,بئر مشارقة,بئر مشارقة,محلية
الشركة الأهلية الجهوية رتاج للمنتوجات الغابية و الفلاحية,حراجة / إستغلال الغابات,بنت سعيدان,زغوان,الفحص,الفحص,محلية
الزيتونة الباهرة شركة أهلية جهوية,تربية الحيوانات,الحناينية,زغوان,الناظور,الناظور,محلية
الشركة الأهلية المحلية الفلاحية القصبات الفحص,تربية الحيوانات,نهج السودان,زغوان,الفحص,الفحص,محلية
الشركة الأهلية الجهوية للأعلاف و اللحوم,زراعة,10 نهج الطيب المهيري,زغوان,الفحص,الفحص,محلية
الشركة الأهلية المحلية الخير و البركة بالمقرن,زراعة الحبوب,الحي الجديد المقرن زغوان,زغوان,زغوان,زغوان المدينة,جهوية
الشركة الأهلية المحلية صابة,فلاحة / صيد و الخدمات المتصلة بها,وادي الزيت,زغوان,زغوان,زغوان المدينة,محلية
تيناس هنشير الخير شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,زقيدان,زغوان,صواف,صواف الشرقية,محلية
الشركة الأهلية المحلية سيريستي,فلاحة / صيد و الخدمات المتصلة بها,شيرش أولاد الزوابي,زغوان,الفحص,الفحص,محلية
الشركة الأهلية الجهوية مبدعات زيكا,فلاحة / صيد و الخدمات المتصلة بها,نهج محمد علي,زغوان,الفحص,الفحص,محلية
الشركة الأهلية المحلية التعمير بالعمامرية,فلاحة/ صيد و الخدمات المتصلة بها,العمامرية,سليانة,بوعرادة,بوعرادة,محلية
الشركة الاهلية الجهوية الزامريجيا,فلاحة/ صيد و الخدمات المتصلة بها,نهج ابن ابي الضياف,سليانة,سليانة الجنوبية,سليانة الجنوبية,جهوية
شركة خيرات جبل برقو شركة أهلية محلية,فلاحة/ صيد و الخدمات المتصلة بها,عين بوسعدية,سليانة,برقو,برقو,محلية
التاج الفلاحي شركة الاهلية المحلية,فلاحة/ زراعة الحبوب,دار الجمعيات,سليانة,الكريب,الكريب الجنوبية,محلية
جنان برقو للتنمية شركة أهلية محلية,حراجة / إستغلال الغابات,حي الزهور,سليانة,برقو,برقو,جهوية
الشركة الأهلية المحلية الخير و البركة بأميرة الجبال كسرى,فلاحة / صيد و الخدمات المتصلة بها,مجمع التنمية نهج بوعبدالله,سليانة,كسرى,كسرى,محلية
شركة ريحان لتربية الماشية والزراعات الكبرى شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,عبد الستار الدريدي,سليانة,سليانة الجنوبية,سليانة الجنوبية,محلية
الشركة الأهلية المحلية السلام,فلاحة / صيد و الخدمات المتصلة بها,نهج اليمن,سليانة,بوعرادة,بوعرادة,محلية
الشركة الاهلية المحلية للإنتاج الجبلي بعين بوسعدية برقو,فلاحة / صيد و الخدمات المتصلة بها,عين بوسعدية,سليانة,برقو,برقو,محلية
الشركة الاهلية المحلية المصير للخدمات و الانتاج ببرقو,فلاحة / صيد و الخدمات المتصلة بها,نهج عبد النور اليحياوي,سليانة,برقو,برقو,محلية
الشركة الأهلية المحلية منزل المحطة للفلاحة,فلاحة/ صيد و الخدمات المتصلة بها,منزل المحطة,سوسة,سيدي بوعلي,سيدي بوعلي,محلية
الشركة الأهلية الجهوية أصالة للخدمات السريعة,خدمات ملحقة بالنقل,المثاليث عين الرحمة,سوسة,بوفيشة,بوفيشة,جهوية
