charika_type,charika_id,name,delegation,zipcode_list,start_date_raw,capital,tax_id,rc_number,founding_date_iso,legal_form,address,zipcode_detail,wilaya,founding_location,detail_url
mahaliya,1832546R,الشركة الاهلية المحلية لنقش و نحت الحجارة و صقل الرخام,سيدي عيش,2131,7 أوت 2023,11400,1832546R,C01652942023,2023-08-07,شركة أهلية محلية,العبابسة سيدي عيش,2131,تونس,تونس,https://trovit.tn/charika/1832546R
mahaliya,1831304V,الضيعة 18,سيدي بوزيد الشرقية,9100,13 جويلية 2023,15000,1831304V,C18607752023,2023-07-13,شركة أهلية محلية,شارع اتحاد المغرب العربي سيدي بوزيد الشرقية,9100,سيدي بوزيد,سيدي بوزيد,https://trovit.tn/charika/1831304V
mahaliya,1830277F,المالوسي لصناعة الآجر شركة أهلية محلية,منزل بوزيان,9114,13 جويلية 2023,10000,1830277F,C18566332023,2023-07-13,شركة أهلية محلية,منزل بوزيان منزل بوزيان,9114,سيدي بوزيد,سيدي بوزيد,https://trovit.tn/charika/1830277F
mahaliya,1828566R,شركة ريحان لتربية الماشية والزراعات الكبرى شركة أهلية محلية,سليانة الجنوبية,6100,26 جوان 2023,10000,1828566R,C12557682023,2023-06-26,شركة أهلية محلية,عبد الستار الدريدي سليانة الجنوبية,6100,سليانة,سليانة,https://trovit.tn/charika/1828566R
mahaliya,1827499T,فخمة وان شركة أهلية محلية,القيروان الجنوبية,3100,15 جوان 2023,257000,1827499T,C01557292023,2023-06-15,شركة أهلية محلية,الخضراء القيروان الجنوبية,3100,تونس,تونس,https://trovit.tn/charika/1827499T
mahaliya,1827094A,الشركة الاهلية المحلية أم الاقصاب,أم العرائس,2114,13 جوان 2023,10000,1827094A,C01565312023,2023-06-13,شركة أهلية محلية,أم الاقصاب سيدي بوبكر أم العرائس,2114,تونس,تونس,https://trovit.tn/charika/1827094A
mahaliya,1826089Z,شركة أهلية محلية فسقية الرضاع,الرقاب,9170,6 جوان 2023,12000,1826089Z,C18531512023,2023-06-06,شركة أهلية محلية,الرضاع الشرقية الرقاب,9170,سيدي بوزيد,سيدي بوزيد,https://trovit.tn/charika/1826089Z
mahaliya,1826062M,الشركة الاهلية المحلية لاستغلال المقاطع بماجورة,السند,2190,6 جوان 2023,10000,1826062M,C01539002023,2023-06-06,شركة أهلية محلية,حي ماجورة السند,2190,تونس,تونس,https://trovit.tn/charika/1826062M
mahaliya,1825810W,شركة زيان للنقل والخدمات بجرجيس,جرجيس,4170,5 جوان 2023,10000,1825810W,C20545752023,2023-06-05,شركة أهلية محلية,نهج 20 مارس  جرجيس,4170,مدنين,مدنين,https://trovit.tn/charika/1825810W
mahaliya,1825518V,الشركة الاهلية المحلية الهراهرة,سبيطلة,1250,1 جوان 2023,10000,1825518V,C13538952023,2023-06-01,شركة أهلية محلية,الاثار سبيطلة,1250,القصرين,القصرين,https://trovit.tn/charika/1825518V
mahaliya,1823244D,الشركة الأهلية المحلية الفلاحية الشباب و التنمية,نصرالله,3114,15 ماي 2023,14250,1823244D,C01529312023,2023-05-15,شركة أهلية محلية,حي الرياض منزل المهيري نصرالله,3114,تونس,تونس,https://trovit.tn/charika/1823244D
mahaliya,1822949C,الشركة الاهلية المحلية البلام بالشابة,الشابة,5170,15 ماي 2023,58000,1822949C,C0189252024,2023-05-15,شركة أهلية محلية,نهج الخذر بن حسين الشابة,5170,تونس,تونس,https://trovit.tn/charika/1822949C
mahaliya,1822253A,الشركة الاهلية المحلية فلاح سبيطلة,سبيطلة,1250,9 ماي 2023,10000,1822253A,C13493162023,2023-05-09,شركة أهلية محلية,الاثار سبيطلة,1250,القصرين,القصرين,https://trovit.tn/charika/1822253A
mahaliya,1816740Y,الشركة الاهلية المحلية بسيسب للخدمات الفلاحية,السبيخة,3110,23 مارس 2023,10000,1816740Y,C01438352023,2023-03-23,شركة أهلية محلية,سيسب السبيخة,3110,تونس,تونس,https://trovit.tn/charika/1816740Y
mahaliya,1816270N,الشركة الأهلية المحلية للتنمية الفلاحية بجرجيس نيوزار,جرجيس,4170,21 مارس 2023,10000,1816270N,C20481232023,2023-03-21,شركة أهلية محلية,عمارة الحافي شارع 20 مارس جرجيس,4170,مدنين,مدنين,https://trovit.tn/charika/1816270N
mahaliya,1815947H,شركة أم المناجم للنقل بأم العرائس شركة أهلية محلية,أم العرائس,2110,16 مارس 2023,10000,1815947H,C01445392023,2023-03-16,شركة أهلية محلية,حي النور أم العرائس,2110,تونس,تونس,https://trovit.tn/charika/1815947H
mahaliya,1815957K,الشركة الاهلية المحلية جرجير سبيطلة,سبيطلة,1250,16 مارس 2023,15800,1815957K,C13437482023,2023-03-16,شركة أهلية محلية,حي الغابات سبيطلة,1250,القصرين,القصرين,https://trovit.tn/charika/1815957K
mahaliya,1812023G,شركة اهلية نور البركة,جرجيس,4170,21 فيفري 2023,10000,1812023G,C20444082023,2023-02-21,شركة أهلية محلية,حسي الجربي  جرجيس,4170,مدنين,مدنين,https://trovit.tn/charika/1812023G
mahaliya,1806830T,الشركة الأهلية المحلية للخدمات الفلاحية النوائل,بير  الحفي,9113,19 جانفي 2023,44000,1806830T,C18355122023,2023-01-19,شركة أهلية محلية,النوائل الجديدة  بير  الحفي,9113,سيدي بوزيد,سيدي بوزيد,https://trovit.tn/charika/1806830T
mahaliya,1805848A,حلم الزوارع شركة أهلية محلية,نفزة,9010,13 جانفي 2023,10000,1805848A,C05484442023,2023-01-13,شركة أهلية محلية,وشتاتة نفزة,9010,باجة,باجة,https://trovit.tn/charika/1805848A
mahaliya,1804963Y,الشركة ألأهلية الإتحاد أولاد جابالله,ملولش,5114,3 جانفي 2023,60000,1804963Y,C16337512023,2023-01-03,شركة أهلية محلية,أولاد جاب الله ملولش,5114,المهدية,المهدية,https://trovit.tn/charika/1804963Y
mahaliya,1797120Q,الشركة الاهلية المحلية المركب الفلاحي مشرق الشمس,سبيطلة,1250,7 نوفمبر 2022,11400,1797120Q,C13678112022,2022-11-07,شركة أهلية محلية,مشرق الشمس سبيطلة,1250,القصرين,القصرين,https://trovit.tn/charika/1797120Q
